name,desc,star,fork,created_at,updated_at,lang
facebook/react,The library for web and native user interfaces.,217982,45977,2013-05-24T16:15:54Z,2024-01-30T05:27:05Z,JavaScript
vuejs/vue,"This is the repo for Vue 2. For Vue 3, go to https://github.com/vuejs/core",206272,34660,2013-07-29T03:24:51Z,2024-01-30T04:21:56Z,TypeScript
twbs/bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",166633,79176,2011-07-29T21:19:00Z,2024-01-30T04:09:12Z,JavaScript
Significant-Gravitas/AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",157082,39768,2023-03-16T09:21:07Z,2024-01-30T05:45:16Z,JavaScript
microsoft/vscode,Visual Studio Code,155371,28127,2015-09-03T20:23:38Z,2024-01-30T03:49:55Z,TypeScript
airbnb/javascript,JavaScript Style Guide,140196,26614,2012-11-01T23:13:50Z,2024-01-30T05:34:39Z,JavaScript
vercel/next.js,The React Framework,117345,25586,2016-10-05T23:32:51Z,2024-01-30T05:41:37Z,JavaScript
axios/axios,Promise based HTTP client for the browser and node.js,103209,10894,2014-08-18T22:30:27Z,2024-01-30T05:29:12Z,JavaScript
facebook/create-react-app,Set up a modern web app by running one command.,101490,26949,2016-07-17T14:55:11Z,2024-01-29T22:35:23Z,JavaScript
nodejs/node,Node.js JavaScript runtime ✨🐢🚀✨,101404,28405,2014-11-26T19:57:11Z,2024-01-30T05:25:22Z,JavaScript
mrdoob/three.js,JavaScript 3D Library.,97178,35356,2010-03-23T18:58:01Z,2024-01-30T04:59:10Z,JavaScript
microsoft/TypeScript,TypeScript is a superset of JavaScript that compiles to clean JavaScript output.,96410,12487,2014-06-17T15:28:39Z,2024-01-30T05:32:35Z,TypeScript
angular/angular,Deliver web apps with confidence 🚀,93379,25120,2014-09-18T16:12:01Z,2024-01-30T05:48:48Z,TypeScript
mui/material-ui,"MUI Core: Ready-to-use foundational React components, free forever. It includes Material UI, which implements Google's Material Design.",90548,31237,2014-08-18T19:11:54Z,2024-01-30T05:47:27Z,TypeScript
ant-design/ant-design,An enterprise-class UI design language and React UI library,89142,44229,2015-04-24T15:37:24Z,2024-01-30T03:31:00Z,TypeScript
puppeteer/puppeteer,Node.js API for Chrome ,85890,9213,2017-05-09T22:16:13Z,2024-01-30T05:22:25Z,TypeScript
gothinkster/realworld,"""The mother of all demo apps"" — Exemplary fullstack Medium.com clone powered by React, Angular, Node, Django, and many more",77518,7212,2016-02-26T20:49:53Z,2024-01-30T05:20:08Z,TypeScript
sveltejs/svelte,Cybernetically enhanced web apps,75176,4265,2016-11-20T18:13:05Z,2024-01-30T05:27:50Z,JavaScript
iptv-org/iptv,Collection of publicly available IPTV channels from all over the world,75000,1462,2018-11-14T22:00:57Z,2024-01-30T04:05:09Z,JavaScript
FortAwesome/Font-Awesome,"The iconic SVG, font, and CSS toolkit",72726,12491,2012-02-17T14:19:43Z,2024-01-30T03:45:04Z,JavaScript
typicode/json-server,Get a full fake REST API with zero coding in less than 30 seconds (seriously),70277,6949,2013-11-27T13:21:13Z,2024-01-30T04:52:50Z,JavaScript
excalidraw/excalidraw,Virtual whiteboard for sketching hand-drawn like diagrams,66700,5924,2020-01-02T01:04:43Z,2024-01-30T05:47:59Z,TypeScript
hakimel/reveal.js,The HTML Presentation Framework,66384,16917,2011-06-07T18:54:22Z,2024-01-30T04:29:29Z,JavaScript
mermaid-js/mermaid,Generation of diagrams like flowcharts or sequence diagrams from text in a similar manner as markdown,64696,5686,2014-11-01T23:52:32Z,2024-01-30T05:44:14Z,JavaScript
coder/code-server,VS Code in the browser,63979,5395,2019-02-27T16:50:41Z,2024-01-30T04:55:49Z,TypeScript
